GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.KeysMultiSet,0,56,0,2,0,12,0,8,0,7
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.AsMap.AsMapEntrySet,0,50,0,2,0,11,0,7,0,6
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.EntryValues,0,15,0,0,0,3,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.multimap,UnmodifiableMultiValuedMap,0,79,0,2,0,19,0,17,0,16
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.MultiValuedMapIterator,5,58,1,5,1,16,1,9,0,7
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.AsMap,0,90,0,8,0,24,0,15,0,11
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.Values,0,40,0,2,0,9,0,5,0,4
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractSetValuedMap,0,27,0,0,0,8,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.AsMap.AsMapEntrySetIterator,0,24,0,0,0,6,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.multimap,LinkedHashSetValuedLinkedHashMap,0,70,0,0,0,22,0,9,0,9
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMapDecorator,22,98,0,2,4,25,4,21,4,20
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractSetValuedMap.WrappedSet,0,37,0,4,0,12,0,5,0,3
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSet,0,49,0,2,0,14,0,11,0,10
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSortedSet,0,81,0,2,0,22,0,16,0,15
Apache Commons Collections,org.apache.commons.collections4.set,MapBackedSet,0,158,0,8,0,31,0,23,0,19
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet.OrderedSetIterator,14,28,0,0,3,9,2,3,2,3
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSet,0,66,1,7,0,12,1,8,0,5
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSetDecorator,3,24,0,4,2,5,1,6,1,4
Apache Commons Collections,org.apache.commons.collections4.set,AbstractNavigableSetDecorator,39,28,0,0,9,7,8,6,8,6
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableNavigableSet,0,122,0,2,0,29,0,23,0,22
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSerializableSetDecorator,0,19,0,0,0,8,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSet,0,31,0,4,0,6,0,7,0,5
Apache Commons Collections,org.apache.commons.collections4.set,CompositeSet,15,473,4,66,5,115,6,57,2,26
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet,7,379,6,36,2,85,6,40,0,25
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSortedSet,80,23,4,0,14,6,7,5,5,5
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSortedSetDecorator,19,20,0,0,5,6,4,5,4,5
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedNavigableSet,50,39,0,0,9,9,6,8,6,8
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSortedSet,37,27,0,0,6,7,3,6,3,6
Apache Commons Collections,org.apache.commons.collections4.set,TransformedNavigableSet,89,39,4,0,16,9,9,8,7,8
Apache Commons Collections,org.apache.commons.collections4.iterators,EnumerationIterator,35,29,4,0,11,10,6,4,4,4
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorChain,0,251,0,30,0,67,0,29,0,14
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyMapIterator,0,10,0,0,0,4,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonIterator,0,71,0,14,0,21,0,13,0,6
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayIterator,6,102,0,12,2,26,2,14,2,8
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterIterator,12,113,2,14,3,35,4,16,2,10
Apache Commons Collections,org.apache.commons.collections4.iterators,SkippingIterator,0,60,0,8,0,17,0,8,0,4
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorIterable,0,44,1,5,0,12,1,6,0,4
Apache Commons Collections,org.apache.commons.collections4.iterators,ReverseListIterator,5,101,1,5,1,30,1,13,0,11
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractListIteratorDecorator,0,50,0,0,0,16,0,11,0,11
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorOperations,0,32,0,0,0,8,0,5,0,5
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyIterator,0,14,0,0,0,6,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractUntypedIteratorDecorator,0,20,0,0,0,7,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.iterators,TransformIterator,18,40,0,2,8,11,5,7,5,6
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayListIterator,5,113,0,8,1,25,1,14,1,10
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableOrderedMapIterator,0,56,0,2,0,16,0,11,0,10
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingIterator,0,52,0,6,0,15,0,9,0,6
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedMapIterator,0,10,0,0,0,4,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.iterators,NodeListIterator,0,63,2,6,0,12,2,7,0,5
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractEmptyMapIterator,0,18,0,0,0,5,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractIteratorDecorator,0,8,0,0,0,3,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.iterators,ExtendedIterator,10,110,2,4,2,21,2,14,0,13
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectGraphIterator,0,189,0,30,0,55,0,23,0,8
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableIterator,0,41,0,2,0,13,0,8,0,7
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorIterable.new Iterator() {...},4,14,0,0,2,3,1,3,1,3
Apache Commons Collections,org.apache.commons.collections4.iterators,LazyIteratorChain,0,87,0,12,0,25,0,11,0,5
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractMapIteratorDecorator,37,0,0,0,11,0,8,0,8,0
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractOrderedMapIteratorDecorator,45,0,0,0,13,0,10,0,10,0
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableListIterator,3,61,0,2,1,17,1,12,1,11
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingListIterator,16,133,3,19,4,37,4,20,1,12
Apache Commons Collections,org.apache.commons.collections4.iterators,BoundedIterator,0,118,0,16,0,30,0,14,0,6
Apache Commons Collections,org.apache.commons.collections4.iterators,PeekingIterator,7,121,2,22,3,33,2,18,0,8
Apache Commons Collections,org.apache.commons.collections4.iterators,CartesianProductIterator,5,166,1,13,1,31,1,10,0,4
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonListIterator,0,121,2,26,0,30,2,23,0,11
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableMapIterator,0,48,0,2,0,14,0,9,0,8
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyListIterator,2,12,0,0,1,5,1,3,1,3
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterListIterator,50,173,6,30,18,55,15,24,9,12
Apache Commons Collections,org.apache.commons.collections4.iterators,ZippingIterator,0,130,0,12,0,32,0,12,0,6
Apache Commons Collections,org.apache.commons.collections4.iterators,CollatingIterator,31,349,3,39,8,90,5,38,2,20
Apache Commons Collections,org.apache.commons.collections4.iterators,UniqueFilterIterator,0,5,0,0,0,2,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4.iterators,PermutationIterator,0,259,0,32,0,44,0,20,0,4
Apache Commons Collections,org.apache.commons.collections4.iterators,PushbackIterator,5,56,2,6,2,12,2,8,0,6
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorEnumeration,7,17,0,0,4,6,2,4,2,4
Apache Commons Collections,org.apache.commons.collections4.iterators,EntrySetMapIterator,66,52,6,4,16,14,7,7,4,5
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedIterator,0,10,0,0,0,4,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayIterator,9,119,0,10,3,27,3,13,3,8
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractEmptyIterator,0,37,0,0,0,12,0,11,0,11
Apache Commons Collections,org.apache.commons.collections4.iterators,ListIteratorWrapper,36,248,7,31,10,58,7,23,2,9
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayListIterator,6,112,0,8,3,23,1,14,1,10
Apache Commons Collections,org.apache.commons.collections4,Factory,0,3,0,0,0,1,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4,PredicateUtils,12,98,0,0,5,26,5,24,5,24
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.3.new LazyIteratorChain() {...},0,23,0,2,0,4,0,3,0,2
Apache Commons Collections,org.apache.commons.collections4,FunctorException,8,8,0,0,4,4,2,2,2,2
Apache Commons Collections,org.apache.commons.collections4,EnumerationUtils,0,67,0,6,0,15,0,8,0,5
Apache Commons Collections,org.apache.commons.collections4,BagUtils,8,39,0,0,3,11,3,9,3,9
Apache Commons Collections,org.apache.commons.collections4,Closure,0,4,0,0,0,2,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4,ListUtils.LcsVisitor,0,19,0,0,0,8,0,5,0,5
Apache Commons Collections,org.apache.commons.collections4,SetUtils,37,172,1,21,11,41,12,25,11,15
Apache Commons Collections,org.apache.commons.collections4,ComparatorUtils,8,102,3,13,2,25,4,15,1,10
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.UnmodifiableIterable,0,11,0,0,0,4,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,FluentIterable,0,189,0,2,0,44,0,35,0,34
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},13,41,5,3,1,4,4,5,1,4
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},0,34,0,4,0,3,0,5,0,3
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},12,41,4,0,1,4,3,4,1,4
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},0,33,0,4,0,3,0,5,0,3
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.SetOperationCardinalityHelper,0,48,0,2,0,11,0,5,0,4
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.7.new LazyIteratorChain() {...},0,18,0,2,0,4,0,3,0,2
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils,48,779,14,74,10,183,12,111,2,77
Apache Commons Collections,org.apache.commons.collections4,SetUtils.SetView,16,11,0,0,5,4,2,3,2,3
Apache Commons Collections,org.apache.commons.collections4,ClosureUtils,0,114,0,2,0,28,0,17,0,16
Apache Commons Collections,org.apache.commons.collections4,ArrayUtils,3,54,2,14,1,13,2,9,0,3
Apache Commons Collections,org.apache.commons.collections4,Transformer,0,4,0,0,0,1,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils,3,36,1,5,1,9,1,4,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,13,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,17,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,44,0,2,0,6,0,3,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,11,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,18,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,22,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,11,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils,76,1673,24,246,15,398,24,185,0,74
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,5,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils.new LazyIteratorChain() {...},0,17,0,2,0,2,0,3,0,2
Apache Commons Collections,org.apache.commons.collections4,MultiMapUtils,16,92,0,16,4,11,4,19,4,11
Apache Commons Collections,org.apache.commons.collections4,TrieUtils,0,3,0,0,0,1,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4,IterableUtils,43,620,0,54,5,133,4,72,4,45
Apache Commons Collections,org.apache.commons.collections4,ArrayStack,23,70,6,10,6,23,6,10,2,6
Apache Commons Collections,org.apache.commons.collections4,FactoryUtils,0,21,0,0,0,6,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4,MapUtils,38,1198,7,143,9,246,15,155,8,87
Apache Commons Collections,org.apache.commons.collections4,MultiValuedMap,0,13,0,0,0,1,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.EquatorWrapper,2,32,1,1,1,9,1,4,0,4
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},4,20,1,1,0,3,1,2,0,2
Apache Commons Collections,org.apache.commons.collections4,ListUtils,11,426,3,55,3,96,6,49,3,23
Apache Commons Collections,org.apache.commons.collections4,Predicate,0,4,0,0,0,1,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4,QueueUtils,0,22,0,0,0,6,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4,ListUtils.Partition,4,78,0,4,1,13,1,5,1,3
Apache Commons Collections,org.apache.commons.collections4,MultiSetUtils,12,154,0,16,4,39,4,18,4,10
Apache Commons Collections,org.apache.commons.collections4,ListUtils.CharSequenceAsList,0,16,0,0,0,5,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4,MapUtils.new AbstractMapDecorator() {...},0,4,0,0,0,1,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4,MapUtils.new AbstractSortedMapDecorator() {...},0,4,0,0,0,1,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedGet,34,74,4,4,7,16,9,11,5,11
Apache Commons Collections,org.apache.commons.collections4,TransformerUtils,0,139,0,2,0,34,0,24,0,23
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.CardinalityHelper,0,57,0,0,0,10,0,7,0,7
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedPut,3,82,3,3,1,20,3,15,0,15
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,LayeredBloomFilter.Finder,0,47,0,2,0,9,0,4,0,3
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,EnhancedDoubleHasher.new IndexExtractor() {...},4,152,2,20,2,32,2,13,0,4
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,BitMapExtractor,0,59,0,4,0,12,0,7,0,5
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,SimpleBloomFilter,0,328,0,26,0,65,0,34,0,21
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,EnhancedDoubleHasher,0,87,0,4,0,22,0,8,0,6
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,SparseBloomFilter,0,282,0,22,0,66,0,29,0,18
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,BloomFilterExtractor.new BloomFilterExtractor() {...},0,35,0,4,0,5,0,6,0,4
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,LayerManager.Cleanup,8,36,1,7,1,12,3,9,2,6
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,IndexFilter.ArrayTracker,0,51,0,6,0,10,0,5,0,2
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,Shape,0,408,0,28,0,74,0,36,0,22
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,CellExtractor,0,16,0,0,0,3,0,4,0,4
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,WrappedBloomFilter,0,107,0,0,0,26,0,23,0,23
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,LayerManager.ExtendCheck,0,53,0,8,0,10,0,11,0,7
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,CountingLongPredicate,0,61,0,8,0,11,0,7,0,3
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,IndexUtils,0,22,0,2,0,3,0,2,0,1
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,IndexExtractor.new IndexExtractor() {...},0,36,0,4,0,6,0,5,0,3
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,IndexExtractor.new LongPredicate() {...},0,40,0,6,0,9,0,5,0,2
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,IndexExtractor.new IndexExtractor() {...},0,34,0,4,0,6,0,5,0,3
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,CellExtractor.1.CounterCell,0,18,0,0,0,5,0,2,0,2
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,LayerManager.Builder,0,36,0,0,0,11,0,5,0,5
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,BitMapExtractor.new Object() {...},0,53,0,4,0,7,0,5,0,3
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,IndexExtractor.new Object() {...},0,45,0,2,0,6,0,4,0,3
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,BitMaps,0,81,0,4,0,12,0,11,0,9
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,CountingPredicate,0,61,0,8,0,11,0,7,0,3
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,CountingBloomFilter,0,167,0,6,0,32,0,17,0,14
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,BitMapExtractor.new BitMapExtractor() {...},0,56,0,8,0,8,0,8,0,4
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,IndexFilter,0,77,0,6,0,13,0,6,0,3
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,ArrayCountingBloomFilter,0,381,0,36,0,73,0,42,0,24
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,IndexExtractor,0,61,0,0,0,13,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,IndexFilter.BitMapTracker,0,22,0,2,0,6,0,3,0,2
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,BloomFilter,0,229,0,30,0,40,0,28,0,13
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,SetOperations,0,179,0,6,0,27,0,20,0,17
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,BloomFilterExtractor,0,79,0,6,0,13,0,9,0,6
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,CellExtractor.new CellExtractor() {...},0,91,0,8,0,19,0,10,0,6
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,LayerManager,5,157,0,12,1,35,1,18,1,12
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,LayeredBloomFilter,0,282,0,6,0,60,0,38,0,35
Apache Commons Collections,org.apache.commons.collections4.bloomfilter,LayerManager.ExtendCheck.new Predicate() {...},0,23,0,2,0,5,0,3,0,2
Apache Commons Collections,org.apache.commons.collections4.multiset,TransformedMultiSet,0,108,1,7,0,19,1,15,0,12
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MutableInteger,18,6,4,0,4,3,4,1,2,1
Apache Commons Collections,org.apache.commons.collections4.multiset,PredicatedSortedMultiSet,0,27,0,0,0,7,0,6,0,6
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractSortedMultiSetDecorator,7,16,0,0,3,5,2,4,2,4
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.UniqueSetIterator,0,50,0,2,0,15,0,4,0,3
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet.SynchronizedSet,0,5,0,0,0,2,0,1,0,1
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.EntrySet,38,33,8,2,11,9,6,4,1,4
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSetDecorator,29,29,0,4,7,6,6,7,6,5
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.AbstractEntry,40,19,8,0,9,3,6,2,2,2
Apache Commons Collections,org.apache.commons.collections4.multiset,HashMultiSet,0,37,0,0,0,14,0,5,0,5
Apache Commons Collections,org.apache.commons.collections4.multiset,UnmodifiableSortedMultiSet,0,90,0,2,0,27,0,18,0,17
Apache Commons Collections,org.apache.commons.collections4.multiset,TreeMultiSet,0,99,0,4,0,26,0,13,0,11
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet,18,115,0,2,4,22,2,11,2,10
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MapBasedMultiSetIterator,4,112,1,13,1,26,1,10,0,4
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet,12,473,4,46,2,110,4,43,0,22
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedSortedMultiSet,16,35,0,0,4,8,2,5,2,5
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.UniqueSet,0,41,0,2,0,10,0,8,0,7
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MultiSetEntry,0,16,0,0,0,5,0,3,0,3
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.MultiSetIterator,29,55,4,6,8,13,3,6,1,3
Apache Commons Collections,org.apache.commons.collections4.multiset,TransformedSortedMultiSet,4,62,1,3,1,13,2,7,1,6
Apache Commons Collections,org.apache.commons.collections4.multiset,PredicatedMultiSet,9,59,0,4,2,12,1,12,1,10
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.EntrySetIterator,5,55,1,1,1,16,1,4,0,4
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet,128,178,19,23,33,44,19,24,7,15
Apache Commons Collections,org.apache.commons.collections4.multiset,UnmodifiableMultiSet,0,86,0,2,0,25,0,18,0,17
Apache Commons Collections,org.apache.commons.collections4.queue,SynchronizedQueue,5,97,0,2,2,20,1,11,1,10
Apache Commons Collections,org.apache.commons.collections4.queue,AbstractQueueDecorator,20,12,0,0,6,4,5,3,5,3
Apache Commons Collections,org.apache.commons.collections4.queue,TransformedQueue,0,77,1,3,0,16,1,10,0,9
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue.new Iterator() {...},0,192,0,18,0,32,0,13,0,4
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,5,380,2,52,1,92,2,46,0,21
Apache Commons Collections,org.apache.commons.collections4.queue,PredicatedQueue,0,39,0,0,0,10,0,8,0,8
Apache Commons Collections,org.apache.commons.collections4.queue,UnmodifiableQueue,0,76,0,2,0,23,0,16,0,15
